ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-51,-53,-58,-58,-63,-64,-65,-65,-66,-67,-69,-71,-71,-72,-74,-78,-78,-78,-81
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-63,-52,-58,-61,-66,-65,-64,-42,-68,-72,-70,-70,-74,0,-77,0,-78,-72,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-69,-54,-62,-61,-68,-69,-70,-72,-67,-72,-74,-66,-76,-72,-77,-81,0,-71,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-59,-55,-59,-61,0,-67,-72,-62,-66,-69,-74,-73,-72,-69,0,0,-77,-81,0
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-62,-55,-61,-57,-62,-65,-71,-64,-65,-70,-70,-68,-72,-73,-78,-76,0,-77,-77
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-60,-54,-56,-69,-65,-74,-66,-62,-70,-75,-65,-71,-73,-71,-80,-74,-75,-74,-70
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-56,-57,-55,-60,-73,-59,-67,-72,-67,-63,-67,-86,-77,-68,-68,-67,-71,-76,-65
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-57,-53,-54,-58,-64,-62,-70,-65,0,0,-62,-54,-73,0,0,0,0,-80,-77
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-58,-55,-54,-63,-62,-64,-65,-69,-66,-69,-75,-76,-46,-79,-75,-76,-81,-47,-74
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-60,-53,-58,-59,-63,-66,-72,-61,-64,-72,-73,-74,-71,-67,-75,-75,-75,-74,-80
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-59,-54,-54,-61,-63,-59,-64,-65,-64,-76,-72,-74,-72,-69,-82,-71,-75,-74,-73
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-58,-54,-52,-63,-71,-63,-64,-63,-71,0,-64,-71,-69,-68,-72,-73,-80,-76,-77
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-53,-53,-57,-71,-71,-65,-68,-74,-69,-73,-69,-65,-74,-75,-75,-68,-78,-76,-79
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,-56,-61,-57,-63,-62,-63,-69,-62,-65,-76,-62,-76,-74,-71,-77,-77,-75,-74,-76
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
1,0,-60,-85,-63,-65,-63,-70,-60,-59,0,-74,-59,-75,-69,0,0,0,-77,0
2,-58,-54,-55,-60,-68,-64,-65,-70,-69,0,0,0,-75,-65,0,0,-68,-76,-75
2,-58,-54,-55,-60,-68,-64,-65,-70,-69,0,0,0,-75,-65,0,0,-68,-76,-75
2,-58,-54,-55,-60,-68,-64,-65,-70,-69,0,0,0,-75,-65,0,0,-68,-76,-75
2,-58,-54,-55,-60,-68,-64,-65,-70,-69,0,0,0,-75,-65,0,0,-68,-76,-75
2,-58,-54,-55,-60,-68,-64,-65,-70,-69,0,0,0,-75,-65,0,0,-68,-76,-75
