ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
1,-64,-71,-75,-72,-80,-55,-75,-60,-56,-71,-76,-83,-78,-67,-58,-70,-72,-73,-70
1,-64,-71,-75,-72,-80,-55,-75,-60,-56,-71,-76,-83,-78,-67,-58,-70,-72,-73,-70
1,-65,-70,-73,-77,-80,-56,-75,-73,-56,-70,-77,-78,-72,-68,-53,-67,-72,-73,-76
1,-65,-70,-73,-77,-80,-56,-75,-73,-56,-70,-77,-78,-72,-68,-53,-67,-72,-73,-76
1,-66,-70,-75,-77,-79,-58,-74,-59,-56,-70,-76,-78,-73,-73,-58,-71,-71,-74,-69
1,-66,-70,-75,-77,-79,-58,-74,-59,-56,-70,-76,-78,-73,-73,-58,-71,-71,-74,-69
1,-62,-76,-73,-69,-73,-58,-70,-64,-54,-64,-67,-78,-73,-73,-55,-71,-71,-68,-72
1,-62,-76,-73,-69,-73,-58,-70,-64,-54,-64,-67,-78,-73,-73,-55,-71,-71,-68,-72
1,-69,-75,-73,-74,-74,-64,-71,-61,-56,-64,-74,-79,-73,-56,-56,-68,-71,-64,-74
1,-69,-75,-73,-74,-74,-64,-71,-61,-56,-64,-74,-79,-73,-56,-56,-68,-71,-64,-74
1,-71,-73,-74,-77,-75,-68,-71,-55,-53,-62,-73,-81,-73,-66,-55,-68,-69,-66,-72
1,-71,-73,-74,-77,-75,-68,-71,-55,-53,-62,-73,-81,-73,-66,-55,-68,-69,-66,-72
1,-63,-73,-74,-75,-77,-68,-71,-77,-53,-62,-73,-81,-73,-66,-54,-64,-69,-66,-72
1,-63,-73,-74,-75,-77,-68,-71,-77,-53,-62,-73,-81,-73,-66,-54,-64,-69,-66,-72
1,-63,-73,-74,-75,-77,-68,-71,-77,-53,-62,-73,-81,-73,-66,-54,-64,-69,-66,-72
1,-68,-84,-74,-76,-87,-57,-71,-66,-85,-69,-70,-82,-77,-65,-55,-60,-68,-72,-70
1,-68,-84,-74,-76,-87,-57,-71,-66,-85,-69,-70,-82,-77,-65,-55,-60,-68,-72,-70
1,-71,-84,-74,-89,-81,-56,-73,-64,-55,-70,-71,-82,-77,-65,-56,-60,-68,-72,-70
1,-71,-84,-74,-89,-81,-56,-73,-64,-55,-70,-71,-82,-77,-65,-56,-60,-68,-72,-70
1,-71,-84,-74,-89,-81,-56,-73,-64,-55,-70,-71,-82,-77,-65,-56,-60,-68,-72,-70
1,-71,-80,-74,-73,-75,-62,-68,-53,-61,-70,-72,-82,-73,-68,-66,-69,-73,-73,-70
1,-71,-80,-74,-73,-75,-62,-68,-53,-61,-70,-72,-82,-73,-68,-66,-69,-73,-73,-70
1,-66,-74,-74,-76,-80,-58,-75,-51,-62,-70,-72,-82,-73,-68,-58,-67,-73,-73,-72
1,-66,-74,-74,-76,-80,-58,-75,-51,-62,-70,-72,-82,-73,-68,-58,-67,-73,-73,-72
1,-59,-76,-77,-78,-79,-63,-71,-53,-55,-68,-74,-82,-77,-65,-54,-69,-73,-70,-66
1,-59,-76,-77,-78,-79,-63,-71,-53,-55,-68,-74,-82,-77,-65,-54,-69,-73,-70,-66
1,-59,-76,-77,-78,-79,-63,-71,-53,-55,-68,-74,-82,-77,-65,-54,-69,-73,-70,-66
1,-60,-77,-76,-77,-80,-71,-73,-52,-53,-68,-73,0,-77,-64,-51,-70,-74,-70,-67
1,-60,-77,-76,-77,-80,-71,-73,-52,-53,-68,-73,0,-77,-64,-51,-70,-74,-70,-67
1,-61,-78,-76,-77,-79,-69,-70,-53,-55,-67,-79,-78,-81,-62,-55,-67,-74,-67,-71
1,-61,-78,-76,-77,-79,-69,-70,-53,-55,-67,-79,-78,-81,-62,-55,-67,-74,-67,-71
1,-74,-78,-81,-72,-80,-66,-70,-54,-62,-67,-79,-77,-81,-62,-73,-67,-74,-67,-71
1,-74,-78,-81,-72,-80,-66,-70,-54,-62,-67,-79,-77,-81,-62,-73,-67,-74,-67,-71
1,-67,-78,-81,-75,-78,-70,-71,-61,-65,-76,-70,-77,-79,-66,-58,-63,-74,-68,-71
1,-67,-78,-81,-75,-78,-70,-71,-61,-65,-76,-70,-77,-79,-66,-58,-63,-74,-68,-71
1,-67,-80,-80,-77,-76,-67,-88,-62,-65,-75,-70,-79,-79,-69,-56,-70,-74,-65,-65
1,-67,-80,-80,-77,-76,-67,-88,-62,-65,-75,-70,-79,-79,-69,-56,-70,-74,-65,-65
1,-65,-78,-79,-77,-79,-70,-70,-55,-64,-82,-71,-79,-79,-69,-55,-64,-74,-65,-65
1,-65,-78,-79,-77,-79,-70,-70,-55,-64,-82,-71,-79,-79,-69,-55,-64,-74,-65,-65
1,-65,-78,-79,-77,-79,-70,-70,-55,-64,-82,-71,-79,-79,-69,-55,-64,-74,-65,-65
1,-68,-78,-79,-71,-79,-70,-70,-57,-62,-74,0,-79,0,-69,-52,0,-74,-65,-65
1,-64,-72,-72,-74,-81,-59,-76,-59,-57,-73,-75,-79,-77,-69,-54,-68,-72,-77,-65
1,-64,-72,-72,-74,-81,-59,-76,-59,-57,-73,-75,-79,-77,-69,-54,-68,-72,-77,-65
1,0,-71,-72,-68,-75,0,0,-61,-55,-73,-75,-79,-77,0,-61,-73,-72,-77,-73
1,0,-71,-72,-68,-75,0,0,-61,-55,-73,-75,-79,-77,0,-61,-73,-72,-77,-73
1,-66,-73,-75,-72,-72,-68,-74,-60,-55,-65,-75,-79,-79,-72,-55,-70,-77,-73,-70
1,-66,-73,-75,-72,-72,-68,-74,-60,-55,-65,-75,-79,-79,-72,-55,-70,-77,-73,-70
1,-66,-73,-78,-78,-76,-67,-76,-68,-55,-76,-75,-78,-79,-72,-55,-71,-72,-65,-76
1,-66,-73,-78,-78,-76,-67,-76,-68,-55,-76,-75,-78,-79,-72,-55,-71,-72,-65,-76
1,-66,-73,-78,-78,-76,-67,-76,-68,-55,-76,-75,-78,-79,-72,-55,-71,-72,-65,-76
1,-68,-73,-78,-75,-79,-68,-76,-57,-56,-69,-76,-81,-79,-68,-54,-63,-72,-65,-75
1,-68,-73,-78,-75,-79,-68,-76,-57,-56,-69,-76,-81,-79,-68,-54,-63,-72,-65,-75
1,-67,-73,-78,-75,-79,-67,-74,-62,-55,-65,-80,-81,-79,-68,-52,-62,-74,-65,-75
1,-67,-73,-78,-75,-79,-67,-74,-62,-55,-65,-80,-81,-79,-68,-52,-62,-74,-65,-75
1,-66,-74,-76,-76,-80,-64,-74,-62,-53,-68,-75,-81,-80,-68,-54,-63,-73,-69,-73
1,-66,-74,-76,-76,-80,-64,-74,-62,-53,-68,-75,-81,-80,-68,-54,-63,-73,-69,-73
1,-71,-77,-79,-76,-78,-55,-72,-61,-55,-54,-70,-81,-74,-64,-59,-66,-73,-69,-70
1,-71,-77,-79,-76,-78,-55,-72,-61,-55,-54,-70,-81,-74,-64,-59,-66,-73,-69,-70
1,-67,-77,-79,-73,-76,-55,-66,-58,-60,-74,-69,-78,-73,-68,-64,-69,-71,-75,-70
1,-67,-77,-81,-75,-80,-63,-71,-81,-68,-77,-69,-73,-75,-67,-58,-68,-70,-66,-70
1,-67,-77,-81,-75,-80,-63,-71,-81,-68,-77,-69,-73,-75,-67,-58,-68,-70,-66,-70
1,-67,-77,-81,-75,-80,-63,-71,-81,-68,-77,-69,-73,-75,-67,-58,-68,-70,-66,-70
1,-67,-77,-81,-75,-80,-63,-71,-81,-68,-77,-69,-73,-75,-67,-58,-68,-70,-66,-70
1,-64,-79,-83,-74,-80,-61,-74,-52,-57,-72,-68,-73,-75,-72,-53,-68,-73,-69,-70
1,-64,-79,-83,-74,-80,-61,-74,-52,-57,-72,-68,-73,-75,-72,-53,-68,-73,-69,-70
