,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
17,1,-65.0,-71.0,,-76.0,-90.0,-61.0,-70.0,-63.0,-56.0,-72.0,,,-72.0,-62.0,-59.0,-67.0,-68.0,-70.0,-73.0
18,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
18,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
19,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
19,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
20,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
20,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
21,1,-66.0,-73.0,-79.0,-77.0,-79.0,-53.0,-70.0,-62.0,-57.0,-69.0,-74.0,-80.0,-79.0,-72.0,-61.0,-66.0,-75.0,-72.0,-70.0
21,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
22,1,-66.0,-73.0,-79.0,-77.0,-79.0,-53.0,-70.0,-62.0,-57.0,-69.0,-74.0,-80.0,-79.0,-72.0,-61.0,-66.0,-75.0,-72.0,-70.0
22,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
23,1,-67.0,-73.0,-81.0,-72.0,-78.0,-55.0,-72.0,-59.0,-57.0,-71.0,-71.0,-80.0,-79.0,-72.0,-61.0,-65.0,-75.0,-72.0,-67.0
23,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
24,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
24,1,-67.0,-75.0,-81.0,-88.0,-79.0,-56.0,-72.0,-65.0,-57.0,-70.0,-71.0,-79.0,-80.0,-64.0,-83.0,-84.0,-76.0,-71.0,-69.0
25,1,-67.0,-75.0,-81.0,-88.0,-79.0,-56.0,-72.0,-65.0,-57.0,-70.0,-71.0,-79.0,-80.0,-64.0,-83.0,-84.0,-76.0,-71.0,-69.0
25,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
26,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
26,1,-70.0,-75.0,-80.0,-77.0,-79.0,-55.0,-70.0,-61.0,-58.0,-71.0,-70.0,-79.0,-80.0,-65.0,-61.0,-65.0,-76.0,-72.0,-67.0
27,1,-70.0,-75.0,-80.0,-77.0,-79.0,-55.0,-70.0,-61.0,-58.0,-71.0,-70.0,-79.0,-80.0,-65.0,-61.0,-65.0,-76.0,-72.0,-67.0
27,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
28,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
28,1,-65.0,-75.0,-81.0,-78.0,-79.0,-55.0,-71.0,-61.0,-57.0,-70.0,-70.0,-79.0,-80.0,-68.0,-63.0,-68.0,-76.0,-72.0,-68.0
29,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
29,1,-65.0,-75.0,-81.0,-78.0,-79.0,-55.0,-71.0,-61.0,-57.0,-70.0,-70.0,-79.0,-80.0,-68.0,-63.0,-68.0,-76.0,-72.0,-68.0
30,1,-67.0,-75.0,-80.0,-77.0,-77.0,-54.0,-69.0,-61.0,-58.0,-70.0,-67.0,-79.0,-80.0,-69.0,-59.0,-68.0,-76.0,-72.0,-70.0
30,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
31,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
31,1,-67.0,-75.0,-80.0,-77.0,-77.0,-54.0,-69.0,-61.0,-58.0,-70.0,-67.0,-79.0,-80.0,-69.0,-59.0,-68.0,-76.0,-72.0,-70.0
32,1,-67.0,-75.0,-80.0,-77.0,-77.0,-54.0,-69.0,-61.0,-58.0,-70.0,-67.0,-79.0,-80.0,-69.0,-59.0,-68.0,-76.0,-72.0,-70.0
32,1,-59.0,-55.0,-59.0,-61.0,,-67.0,-72.0,-62.0,-66.0,-69.0,-74.0,-73.0,-72.0,-69.0,,,-77.0,-81.0,
33,1,-68.0,-75.0,-80.0,-73.0,-78.0,-54.0,-69.0,-59.0,-62.0,-70.0,-67.0,-79.0,-80.0,-69.0,-59.0,-68.0,-76.0,-72.0,-70.0
33,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
34,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
34,1,-68.0,-75.0,-80.0,-73.0,-78.0,-54.0,-69.0,-59.0,-62.0,-70.0,-67.0,-79.0,-80.0,-69.0,-59.0,-68.0,-76.0,-72.0,-70.0
35,1,-63.0,-75.0,-81.0,-78.0,-79.0,-59.0,-89.0,-53.0,-72.0,-71.0,-68.0,-84.0,-80.0,-63.0,-62.0,-70.0,-76.0,-68.0,-70.0
35,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
36,1,-63.0,-75.0,-81.0,-78.0,-79.0,-59.0,-89.0,-53.0,-72.0,-71.0,-68.0,-84.0,-80.0,-63.0,-62.0,-70.0,-76.0,-68.0,-70.0
36,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
37,1,-62.0,-75.0,-76.0,-75.0,-80.0,-67.0,-71.0,-53.0,-57.0,-65.0,-70.0,-84.0,-82.0,-65.0,-56.0,-69.0,-76.0,-68.0,-68.0
37,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
38,1,-62.0,-75.0,-76.0,-75.0,-80.0,-67.0,-71.0,-53.0,-57.0,-65.0,-70.0,-84.0,-82.0,-65.0,-56.0,-69.0,-76.0,-68.0,-68.0
38,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
39,1,-64.0,-81.0,-76.0,-79.0,-84.0,-54.0,-70.0,-87.0,-58.0,-70.0,-79.0,-82.0,-82.0,-66.0,-55.0,-65.0,-73.0,-68.0,-70.0
39,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
40,1,-64.0,-81.0,-76.0,-79.0,-84.0,-54.0,-70.0,-87.0,-58.0,-70.0,-79.0,-82.0,-82.0,-66.0,-55.0,-65.0,-73.0,-68.0,-70.0
40,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
41,1,-71.0,-80.0,-80.0,-75.0,-81.0,-62.0,-73.0,-57.0,-59.0,-67.0,-79.0,-76.0,-84.0,-68.0,-56.0,-64.0,-73.0,-69.0,-75.0
41,1,-62.0,-55.0,-61.0,-57.0,-62.0,-65.0,-71.0,-64.0,-65.0,-70.0,-70.0,-68.0,-72.0,-73.0,-78.0,-76.0,,-77.0,-77.0
42,1,-71.0,-80.0,-80.0,-75.0,-81.0,-62.0,-73.0,-57.0,-59.0,-67.0,-79.0,-76.0,-84.0,-68.0,-56.0,-64.0,-73.0,-69.0,-75.0
42,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
43,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
43,1,-70.0,-80.0,-80.0,-75.0,-81.0,-62.0,-76.0,-55.0,-62.0,-68.0,-77.0,-77.0,-83.0,-67.0,-57.0,-69.0,-73.0,-69.0,-75.0
44,1,-70.0,-80.0,-80.0,-75.0,-81.0,-62.0,-76.0,-55.0,-62.0,-68.0,-77.0,-77.0,-83.0,-67.0,-57.0,-69.0,-73.0,-69.0,-75.0
44,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
45,1,-70.0,-80.0,-83.0,-76.0,-77.0,-68.0,-76.0,-56.0,-58.0,-68.0,-78.0,-77.0,-83.0,-67.0,-55.0,-69.0,-68.0,-70.0,-75.0
45,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
46,1,-70.0,-80.0,-83.0,-76.0,-77.0,-68.0,-76.0,-56.0,-58.0,-68.0,-78.0,-77.0,-83.0,-67.0,-55.0,-69.0,-68.0,-70.0,-75.0
46,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
47,1,-70.0,-80.0,-83.0,-76.0,-77.0,-68.0,-76.0,-56.0,-58.0,-68.0,-78.0,-77.0,-83.0,-67.0,-55.0,-69.0,-68.0,-70.0,-75.0
47,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
48,1,-70.0,-80.0,-83.0,-77.0,-78.0,-67.0,-76.0,-54.0,-60.0,-71.0,-78.0,-77.0,-78.0,-67.0,-54.0,-64.0,-68.0,-70.0,-75.0
48,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
49,1,-70.0,-80.0,-83.0,-77.0,-78.0,-67.0,-76.0,-54.0,-60.0,-71.0,-78.0,-77.0,-78.0,-67.0,-54.0,-64.0,-68.0,-70.0,-75.0
49,1,-60.0,-54.0,-56.0,-69.0,-65.0,-74.0,-66.0,-62.0,-70.0,-75.0,-65.0,-71.0,-73.0,-71.0,-80.0,-74.0,-75.0,-74.0,-70.0
50,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
50,1,-64.0,-80.0,-83.0,-74.0,-79.0,-65.0,-72.0,-58.0,-71.0,-75.0,-70.0,-77.0,-78.0,-65.0,-57.0,-66.0,-74.0,-52.0,-70.0
51,1,-64.0,-80.0,-83.0,-74.0,-79.0,-65.0,-72.0,-58.0,-71.0,-75.0,-70.0,-77.0,-78.0,-65.0,-57.0,-66.0,-74.0,-52.0,-70.0
51,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
52,1,-64.0,-80.0,-83.0,-74.0,-79.0,-65.0,-72.0,-58.0,-71.0,-75.0,-70.0,-77.0,-78.0,-65.0,-57.0,-66.0,-74.0,-52.0,-70.0
52,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
53,1,-64.0,-71.0,-75.0,-72.0,-80.0,-55.0,-75.0,-60.0,-56.0,-71.0,-76.0,-83.0,-78.0,-67.0,-58.0,-70.0,-72.0,-73.0,-70.0
53,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
54,1,-64.0,-71.0,-75.0,-72.0,-80.0,-55.0,-75.0,-60.0,-56.0,-71.0,-76.0,-83.0,-78.0,-67.0,-58.0,-70.0,-72.0,-73.0,-70.0
54,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
55,1,-65.0,-70.0,-73.0,-77.0,-80.0,-56.0,-75.0,-73.0,-56.0,-70.0,-77.0,-78.0,-72.0,-68.0,-53.0,-67.0,-72.0,-73.0,-76.0
55,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
56,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
56,1,-65.0,-70.0,-73.0,-77.0,-80.0,-56.0,-75.0,-73.0,-56.0,-70.0,-77.0,-78.0,-72.0,-68.0,-53.0,-67.0,-72.0,-73.0,-76.0
57,1,-66.0,-70.0,-75.0,-77.0,-79.0,-58.0,-74.0,-59.0,-56.0,-70.0,-76.0,-78.0,-73.0,-73.0,-58.0,-71.0,-71.0,-74.0,-69.0
57,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
58,1,-66.0,-70.0,-75.0,-77.0,-79.0,-58.0,-74.0,-59.0,-56.0,-70.0,-76.0,-78.0,-73.0,-73.0,-58.0,-71.0,-71.0,-74.0,-69.0
58,1,-56.0,-57.0,-55.0,-60.0,-73.0,-59.0,-67.0,-72.0,-67.0,-63.0,-67.0,-86.0,-77.0,-68.0,-68.0,-67.0,-71.0,-76.0,-65.0
59,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
59,1,-62.0,-76.0,-73.0,-69.0,-73.0,-58.0,-70.0,-64.0,-54.0,-64.0,-67.0,-78.0,-73.0,-73.0,-55.0,-71.0,-71.0,-68.0,-72.0
60,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
60,1,-62.0,-76.0,-73.0,-69.0,-73.0,-58.0,-70.0,-64.0,-54.0,-64.0,-67.0,-78.0,-73.0,-73.0,-55.0,-71.0,-71.0,-68.0,-72.0
