,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
238,2,-67.0,-53.0,-47.0,-55.0,-71.0,-57.0,-60.0,-73.0,-71.0,-69.0,-71.0,-66.0,-71.0,-71.0,,-74.0,,-69.0,-73.0
239,2,-67.0,-53.0,-47.0,-55.0,-71.0,-57.0,-60.0,-73.0,-71.0,-69.0,-71.0,-66.0,-71.0,-71.0,,-74.0,,-69.0,-73.0
239,2,-73.0,-71.0,-81.0,-71.0,-88.0,-62.0,-71.0,-63.0,-51.0,-64.0,-74.0,-74.0,-71.0,-65.0,-53.0,-81.0,-68.0,-70.0,-78.0
240,2,-64.0,-69.0,-81.0,-75.0,-80.0,-64.0,-74.0,-65.0,-47.0,-67.0,-74.0,-72.0,-68.0,-60.0,-51.0,-59.0,-68.0,-71.0,-70.0
240,2,-67.0,-53.0,-47.0,-55.0,-71.0,-57.0,-60.0,-73.0,-71.0,-69.0,-71.0,-66.0,-71.0,-71.0,,-74.0,,-69.0,-73.0
241,2,-64.0,-69.0,-81.0,-75.0,-80.0,-64.0,-74.0,-65.0,-47.0,-67.0,-74.0,-72.0,-68.0,-60.0,-51.0,-59.0,-68.0,-71.0,-70.0
241,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
242,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
242,2,-64.0,-73.0,-81.0,-73.0,-77.0,-65.0,-73.0,-64.0,-46.0,-63.0,-74.0,-71.0,-69.0,-63.0,-53.0,-60.0,-67.0,-71.0,-70.0
243,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
243,2,-64.0,-73.0,-81.0,-73.0,-77.0,-65.0,-73.0,-64.0,-46.0,-63.0,-74.0,-71.0,-69.0,-63.0,-53.0,-60.0,-67.0,-71.0,-70.0
244,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
244,2,-65.0,-73.0,-81.0,-74.0,-78.0,-65.0,-73.0,-64.0,-51.0,-63.0,-74.0,-71.0,-69.0,-63.0,-50.0,-60.0,-67.0,-71.0,-70.0
245,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
245,2,-65.0,-73.0,-81.0,-74.0,-78.0,-65.0,-73.0,-64.0,-51.0,-63.0,-74.0,-71.0,-69.0,-63.0,-50.0,-60.0,-67.0,-71.0,-70.0
246,2,-68.0,-71.0,-76.0,-74.0,-74.0,-64.0,-78.0,-64.0,-46.0,-62.0,-78.0,-71.0,-73.0,-63.0,-52.0,-64.0,-66.0,-71.0,-74.0
246,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
247,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
247,2,-68.0,-71.0,-76.0,-74.0,-74.0,-64.0,-78.0,-64.0,-46.0,-62.0,-78.0,-71.0,-73.0,-63.0,-52.0,-64.0,-66.0,-71.0,-74.0
248,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
248,2,,,,,,,,,,,,,,,,,,,
249,2,-63.0,-56.0,-56.0,-61.0,-69.0,-59.0,-60.0,-66.0,-69.0,-75.0,-70.0,-72.0,-72.0,-72.0,-74.0,-76.0,-73.0,-72.0,-70.0
249,3,-70.0,-71.0,-76.0,-75.0,-73.0,-61.0,-78.0,-68.0,-45.0,-62.0,-72.0,-72.0,-71.0,-62.0,-56.0,-63.0,-70.0,-77.0,-75.0
250,2,-68.0,-39.0,-56.0,-59.0,-67.0,-56.0,-59.0,-60.0,-72.0,-77.0,-74.0,-65.0,-69.0,-70.0,,-73.0,-73.0,-68.0,-71.0
250,3,-70.0,-71.0,-76.0,-71.0,-71.0,-61.0,-78.0,-68.0,-75.0,-62.0,-72.0,-72.0,-71.0,-62.0,-62.0,-63.0,-65.0,-68.0,-75.0
251,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
251,3,-70.0,-71.0,-76.0,-71.0,-71.0,-61.0,-78.0,-68.0,-75.0,-62.0,-72.0,-72.0,-71.0,-62.0,-62.0,-63.0,-65.0,-68.0,-75.0
252,3,-69.0,,-78.0,-72.0,-70.0,-65.0,-75.0,-74.0,-61.0,-61.0,-80.0,,-74.0,-67.0,-58.0,-61.0,-65.0,-55.0,-69.0
252,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
253,3,-69.0,,-78.0,-72.0,-70.0,-65.0,-75.0,-74.0,-61.0,-61.0,-80.0,,-74.0,-67.0,-58.0,-61.0,-65.0,-55.0,-69.0
253,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
254,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
254,3,-65.0,,-74.0,-72.0,-73.0,-60.0,-75.0,-69.0,-62.0,-58.0,-72.0,-70.0,-73.0,-66.0,-57.0,-55.0,-65.0,-61.0,-69.0
255,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
255,3,-65.0,,-74.0,-72.0,-73.0,-60.0,-75.0,-69.0,-62.0,-58.0,-72.0,-70.0,-73.0,-66.0,-57.0,-55.0,-65.0,-61.0,-69.0
256,3,-65.0,,-74.0,-72.0,-71.0,-60.0,-75.0,-70.0,-82.0,-58.0,-72.0,-70.0,-73.0,-66.0,-56.0,-55.0,-84.0,-63.0,-69.0
256,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
257,3,-65.0,,-74.0,-72.0,-71.0,-60.0,-75.0,-70.0,-82.0,-58.0,-72.0,-70.0,-73.0,-66.0,-56.0,-55.0,-84.0,-63.0,-69.0
257,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
258,3,-65.0,,-74.0,-72.0,-71.0,-60.0,-75.0,-70.0,-82.0,-58.0,-72.0,-70.0,-73.0,-66.0,-56.0,-55.0,-84.0,-63.0,-69.0
258,3,-68.0,-38.0,-62.0,-62.0,,-60.0,-63.0,-70.0,,,-66.0,,-68.0,-72.0,-74.0,-70.0,,-69.0,-64.0
259,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
259,3,-68.0,,-74.0,-70.0,-71.0,-62.0,-73.0,-70.0,-60.0,-59.0,-74.0,-70.0,-73.0,-66.0,-56.0,-60.0,-84.0,-56.0,-66.0
260,3,-68.0,,-74.0,-70.0,-71.0,-62.0,-73.0,-70.0,-60.0,-59.0,-74.0,-70.0,-73.0,-66.0,-56.0,-60.0,-84.0,-56.0,-66.0
260,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
261,3,-67.0,,-74.0,-69.0,-71.0,-63.0,-73.0,-70.0,-62.0,-78.0,-75.0,-71.0,-73.0,-85.0,-56.0,-61.0,-84.0,-53.0,-66.0
261,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
262,3,-67.0,,-74.0,-69.0,-71.0,-63.0,-73.0,-70.0,-62.0,-78.0,-75.0,-71.0,-73.0,-85.0,-56.0,-61.0,-84.0,-53.0,-66.0
262,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
263,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
263,3,-69.0,,-74.0,-70.0,-73.0,-66.0,-73.0,-69.0,-61.0,-61.0,-80.0,-71.0,-73.0,-65.0,-58.0,-57.0,-84.0,-55.0,-72.0
264,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
264,3,-69.0,,-74.0,-70.0,-73.0,-66.0,-73.0,-69.0,-61.0,-61.0,-80.0,-71.0,-73.0,-65.0,-58.0,-57.0,-84.0,-55.0,-72.0
265,3,-70.0,,-77.0,-72.0,-71.0,-62.0,-73.0,-71.0,-60.0,-59.0,-75.0,-72.0,-73.0,-68.0,-55.0,-62.0,-68.0,-58.0,-72.0
265,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
266,3,-63.0,-55.0,-52.0,-61.0,-59.0,-55.0,-59.0,-63.0,-61.0,-74.0,-59.0,-65.0,-68.0,-74.0,-61.0,-70.0,-73.0,-65.0,-62.0
266,3,-70.0,,-77.0,-72.0,-71.0,-62.0,-73.0,-71.0,-60.0,-59.0,-75.0,-72.0,-73.0,-68.0,-55.0,-62.0,-68.0,-58.0,-72.0
267,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
267,3,-70.0,,-77.0,-72.0,-71.0,-62.0,-73.0,-71.0,-60.0,-59.0,-75.0,-72.0,-73.0,-68.0,-55.0,-62.0,-68.0,-58.0,-72.0
268,3,-70.0,,-77.0,-70.0,-72.0,-60.0,-76.0,-63.0,-62.0,-61.0,-77.0,-73.0,-74.0,-66.0,-55.0,-58.0,-68.0,-85.0,-72.0
268,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
269,3,-70.0,,-77.0,-70.0,-72.0,-60.0,-76.0,-63.0,-62.0,-61.0,-77.0,-73.0,-74.0,-66.0,-55.0,-58.0,-68.0,-85.0,-72.0
269,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
270,3,-68.0,-80.0,-77.0,-73.0,-71.0,-57.0,-75.0,-68.0,-55.0,-63.0,-74.0,-71.0,-75.0,-64.0,-58.0,-55.0,-67.0,-59.0,-65.0
270,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
271,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
271,3,-68.0,-80.0,-78.0,-71.0,-71.0,-59.0,-75.0,-66.0,-54.0,-62.0,-74.0,-71.0,-75.0,-63.0,-57.0,-61.0,-67.0,-57.0,-70.0
272,3,-68.0,-80.0,-78.0,-71.0,-71.0,-59.0,-75.0,-66.0,-54.0,-62.0,-74.0,-71.0,-75.0,-63.0,-57.0,-61.0,-67.0,-57.0,-70.0
272,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
273,3,-68.0,-77.0,-77.0,-67.0,-70.0,-59.0,-77.0,-66.0,-64.0,-63.0,-75.0,-71.0,-73.0,-67.0,-55.0,-63.0,-66.0,-56.0,-73.0
273,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
274,3,-68.0,-77.0,-77.0,-67.0,-70.0,-59.0,-77.0,-66.0,-64.0,-63.0,-75.0,-71.0,-73.0,-67.0,-55.0,-63.0,-66.0,-56.0,-73.0
274,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
275,3,-62.0,-80.0,-76.0,-72.0,-72.0,-57.0,-76.0,-72.0,-61.0,-63.0,-75.0,-70.0,-71.0,-65.0,-55.0,-56.0,-65.0,-56.0,-70.0
275,3,-65.0,-55.0,-53.0,,-65.0,-54.0,-64.0,,-59.0,,-63.0,-66.0,-72.0,-75.0,,-72.0,-75.0,-69.0,-59.0
276,3,-62.0,-80.0,-76.0,-72.0,-72.0,-57.0,-76.0,-72.0,-61.0,-63.0,-75.0,-70.0,-71.0,-65.0,-55.0,-56.0,-65.0,-56.0,-70.0
276,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
277,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
277,3,-62.0,-80.0,-76.0,-72.0,-72.0,-57.0,-76.0,-72.0,-61.0,-63.0,-75.0,-70.0,-71.0,-65.0,-55.0,-56.0,-65.0,-56.0,-70.0
278,3,-66.0,-80.0,-76.0,-72.0,-69.0,-61.0,-74.0,-69.0,-56.0,-62.0,-73.0,-70.0,-76.0,-65.0,-55.0,-62.0,-64.0,-58.0,-70.0
278,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
279,3,-66.0,-80.0,-76.0,-72.0,-69.0,-61.0,-74.0,-69.0,-56.0,-62.0,-73.0,-70.0,-76.0,-65.0,-55.0,-62.0,-64.0,-58.0,-70.0
279,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
280,3,-66.0,-80.0,-76.0,-72.0,-71.0,-61.0,-74.0,-69.0,-57.0,-62.0,-73.0,-70.0,-76.0,-65.0,-58.0,-61.0,-64.0,-57.0,-70.0
280,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
281,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
281,3,-66.0,-80.0,-76.0,-72.0,-71.0,-61.0,-74.0,-69.0,-57.0,-62.0,-73.0,-70.0,-76.0,-65.0,-58.0,-61.0,-64.0,-57.0,-70.0
282,3,-66.0,-80.0,-76.0,-72.0,-71.0,-61.0,-74.0,-69.0,-57.0,-62.0,-73.0,-70.0,-76.0,-65.0,-58.0,-61.0,-64.0,-57.0,-70.0
282,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
283,3,-68.0,-80.0,-76.0,-73.0,-76.0,-65.0,-74.0,-70.0,-58.0,-61.0,-74.0,-77.0,-74.0,-65.0,-55.0,-54.0,-64.0,-58.0,-74.0
283,3,,-54.0,-55.0,-65.0,-60.0,-61.0,-62.0,-65.0,-57.0,-69.0,-62.0,-64.0,-71.0,-76.0,-64.0,-76.0,-71.0,-63.0,-68.0
284,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
284,3,-68.0,-80.0,-76.0,-73.0,-76.0,-65.0,-74.0,-70.0,-58.0,-61.0,-74.0,-77.0,-74.0,-65.0,-55.0,-54.0,-64.0,-58.0,-74.0
285,3,-68.0,-80.0,-76.0,-73.0,-72.0,-58.0,-74.0,-70.0,-58.0,-61.0,-74.0,-77.0,-74.0,-66.0,-57.0,-59.0,-66.0,-58.0,-74.0
285,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
286,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
286,3,-72.0,-80.0,-76.0,-71.0,-67.0,-61.0,-69.0,-69.0,-58.0,-62.0,-72.0,-77.0,-75.0,-62.0,-55.0,-58.0,-69.0,-57.0,-65.0
287,3,-72.0,-80.0,-76.0,-71.0,-67.0,-61.0,-69.0,-69.0,-58.0,-62.0,-72.0,-77.0,-75.0,-62.0,-55.0,-58.0,-69.0,-57.0,-65.0
287,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
288,3,-72.0,-80.0,-76.0,-71.0,-67.0,-61.0,-69.0,-69.0,-58.0,-62.0,-72.0,-77.0,-75.0,-62.0,-55.0,-58.0,-69.0,-57.0,-65.0
288,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
289,3,-72.0,-89.0,-75.0,-68.0,-69.0,-66.0,-69.0,-69.0,-59.0,-67.0,-72.0,-71.0,-78.0,-64.0,-55.0,-53.0,-70.0,-58.0,-61.0
289,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
290,3,-72.0,-89.0,-75.0,-68.0,-69.0,-66.0,-69.0,-69.0,-59.0,-67.0,-72.0,-71.0,-78.0,-64.0,-55.0,-53.0,-70.0,-58.0,-61.0
290,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
291,3,-72.0,-80.0,-75.0,-72.0,-69.0,-65.0,-69.0,-78.0,-62.0,-70.0,-72.0,-76.0,-75.0,-63.0,-59.0,-53.0,-71.0,-59.0,-60.0
291,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
292,3,-72.0,-80.0,-75.0,-72.0,-69.0,-65.0,-69.0,-78.0,-62.0,-70.0,-72.0,-76.0,-75.0,-63.0,-59.0,-53.0,-71.0,-59.0,-60.0
292,3,-73.0,-58.0,-55.0,-56.0,-69.0,-57.0,-60.0,-66.0,-55.0,-77.0,-68.0,-54.0,-73.0,-71.0,-74.0,-80.0,-68.0,-67.0,-67.0
293,3,-75.0,-79.0,-73.0,-74.0,-73.0,-69.0,-71.0,-78.0,-58.0,-71.0,-73.0,-72.0,-75.0,-68.0,-56.0,-57.0,-66.0,-58.0,-65.0
293,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
294,3,-75.0,-79.0,-73.0,-74.0,-75.0,-63.0,-71.0,-78.0,-58.0,-71.0,-73.0,-72.0,-69.0,-68.0,-51.0,-57.0,-66.0,-58.0,-65.0
294,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
295,3,-75.0,-79.0,-73.0,-74.0,-75.0,-63.0,-71.0,-78.0,-58.0,-71.0,-73.0,-72.0,-69.0,-68.0,-51.0,-57.0,-66.0,-58.0,-65.0
295,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
296,3,-75.0,-79.0,-73.0,-74.0,-75.0,-63.0,-71.0,-78.0,-58.0,-71.0,-73.0,-72.0,-69.0,-68.0,-51.0,-57.0,-66.0,-58.0,-65.0
296,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
297,3,-75.0,-79.0,-73.0,-74.0,-75.0,-63.0,-71.0,-78.0,-58.0,-71.0,-73.0,-72.0,-69.0,-68.0,-51.0,-57.0,-66.0,-58.0,-65.0
297,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
298,3,-86.0,-83.0,-71.0,-73.0,-75.0,-64.0,-71.0,-78.0,-79.0,-72.0,-83.0,-69.0,-67.0,-72.0,-53.0,-56.0,-69.0,-62.0,-65.0
298,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
299,3,-86.0,-83.0,-71.0,-73.0,-75.0,-64.0,-71.0,-78.0,-79.0,-72.0,-83.0,-69.0,-67.0,-72.0,-53.0,-56.0,-69.0,-62.0,-65.0
299,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
300,3,-70.0,-80.0,-66.0,-73.0,-71.0,-64.0,-71.0,-65.0,-53.0,-69.0,-75.0,-69.0,-73.0,-66.0,-54.0,-64.0,-69.0,-63.0,-75.0
300,3,-76.0,-50.0,-54.0,-57.0,-65.0,-59.0,-65.0,-69.0,-58.0,-71.0,-64.0,-70.0,-71.0,-70.0,-67.0,-80.0,-69.0,-71.0,-77.0
301,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
301,3,-70.0,-90.0,-76.0,,-68.0,-70.0,-71.0,-70.0,-58.0,-62.0,-72.0,-79.0,-67.0,-62.0,-55.0,-57.0,-69.0,-66.0,-67.0
302,3,-70.0,-90.0,-76.0,,-68.0,-70.0,-71.0,-70.0,-58.0,-62.0,-72.0,-79.0,-67.0,-62.0,-55.0,-57.0,-69.0,-66.0,-67.0
302,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
303,3,-70.0,-90.0,-76.0,-73.0,-66.0,-70.0,-79.0,-70.0,-57.0,-60.0,-73.0,-79.0,-67.0,-71.0,-54.0,-57.0,-62.0,-67.0,-68.0
303,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
304,3,-70.0,-90.0,-76.0,-73.0,-66.0,-70.0,-79.0,-70.0,-57.0,-60.0,-73.0,-79.0,-67.0,-71.0,-54.0,-57.0,-62.0,-67.0,-68.0
304,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
305,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
305,3,-70.0,-90.0,-76.0,-73.0,-66.0,-70.0,-79.0,-70.0,-57.0,-60.0,-73.0,-79.0,-67.0,-71.0,-54.0,-57.0,-62.0,-67.0,-68.0
306,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
306,3,-72.0,-73.0,-76.0,-75.0,-70.0,-64.0,-78.0,-69.0,-62.0,-61.0,-90.0,-76.0,-72.0,-66.0,-52.0,-58.0,-61.0,-63.0,-68.0
307,3,-72.0,-73.0,-76.0,-75.0,-70.0,-64.0,-78.0,-69.0,-62.0,-61.0,-90.0,-76.0,-72.0,-66.0,-52.0,-58.0,-61.0,-63.0,-68.0
307,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
308,3,-72.0,-78.0,-74.0,-79.0,-71.0,-63.0,-82.0,-69.0,-55.0,-64.0,-70.0,-73.0,-73.0,-66.0,-57.0,-60.0,-66.0,-61.0,-72.0
308,3,-68.0,-53.0,-62.0,-61.0,-65.0,-64.0,-59.0,-74.0,-69.0,-76.0,-71.0,-69.0,-69.0,-75.0,-73.0,-76.0,-72.0,-70.0,-67.0
309,3,-72.0,-78.0,-74.0,-79.0,-71.0,-63.0,-82.0,-69.0,-55.0,-64.0,-70.0,-73.0,-73.0,-66.0,-57.0,-60.0,-66.0,-61.0,-72.0
309,3,-71.0,-57.0,-50.0,-72.0,-59.0,-55.0,-65.0,-68.0,-60.0,-71.0,-59.0,-59.0,-68.0,-65.0,-68.0,-72.0,-70.0,-71.0,-69.0
310,3,-73.0,-77.0,-74.0,-78.0,-67.0,-62.0,-80.0,-69.0,-58.0,-61.0,-70.0,-72.0,-75.0,-64.0,-54.0,-61.0,-66.0,-64.0,-72.0
310,3,-71.0,-57.0,-50.0,-72.0,-59.0,-55.0,-65.0,-68.0,-60.0,-71.0,-59.0,-59.0,-68.0,-65.0,-68.0,-72.0,-70.0,-71.0,-69.0
311,3,-71.0,-57.0,-50.0,-72.0,-59.0,-55.0,-65.0,-68.0,-60.0,-71.0,-59.0,-59.0,-68.0,-65.0,-68.0,-72.0,-70.0,-71.0,-69.0
